folder_id,object_id,patch_id,id,ra,dec,redshift,rms,catalogue
./annotation_check_triplets/,29d_triplet.png,29d,29d,197.8901083,-1.33906667,,,
./annotation_check_triplets/,30a_triplet.png,30a,30a,197.8850833,-1.32216667,,,
./annotation_check_triplets/,30b_triplet.png,30b,30b,197.8882708,-1.32390833,,,
./annotation_check_triplets/,30c_triplet.png,30c,30c,197.8902583,-1.32575833,,,
./annotation_check_triplets/,31b_triplet.png,31b,31b,197.8886417,-1.34566389,,,
./annotation_check_triplets/,31d_triplet.png,31d,31d,197.8604,-1.33946667,,,
./annotation_check_triplets/,32a_triplet.png,32a,32a,197.8841292,-1.33431389,,,
./annotation_check_triplets/,32b_triplet.png,32b,32b,197.8884,-1.33913889,,,
./annotation_check_triplets/,32c_triplet.png,32c,32c,197.8732875,-1.35078611,,,
./annotation_check_triplets/,32d_triplet.png,32d,32d,197.8741833,-1.345375,,,
./annotation_check_triplets/,33a_triplet.png,33a,33a,197.8685375,-1.35018333,,,
./annotation_check_triplets/,35a_triplet.png,35a,35a,197.869,-1.34981944,,,
./annotation_check_triplets/,35b_triplet.png,35b,35b,197.8914917,-1.34236667,,,
./annotation_check_triplets/,35c_triplet.png,35c,35c,197.8726292,-1.34296111,,,
./annotation_check_triplets/,36a_triplet.png,36a,36a,197.881525,-1.32942778,,,
./annotation_check_triplets/,36b_triplet.png,36b,36b,197.882025,-1.32983056,,,
./annotation_check_triplets/,40a_triplet.png,40a,40a,197.8760833,-1.33667778,,,
./annotation_check_triplets/,41a_triplet.png,41a,41a,197.8661333,-1.34686389,,,
./annotation_check_triplets/,41c_triplet.png,41c,41c,197.870675,-1.34281111,,,
./annotation_check_triplets/,42a_triplet.png,42a,42a,197.8694667,-1.32860556,,,
./annotation_check_triplets/,42b_triplet.png,42b,42b,197.8802917,-1.33153333,,,
./annotation_check_triplets/,42c_triplet.png,42c,42c,197.889625,-1.34330278,,,
./annotation_check_triplets/,44a_triplet.png,44a,44a,197.8688208,-1.33927222,,,
./annotation_check_triplets/,46a_triplet.png,46a,46a,197.8819542,-1.34644167,,,
./annotation_check_triplets/,48a_triplet.png,48a,48a,197.8814917,-1.34346389,,,
./annotation_check_triplets/,49a_triplet.png,49a,49a,197.8702208,-1.337075,,,
./annotation_check_triplets/,49b_triplet.png,49b,49b,197.8898708,-1.35186944,,,
./annotation_check_triplets/,50a_triplet.png,50a,50a,197.88575,-1.34544444,,,
./annotation_check_triplets/,50b_triplet.png,50b,50b,197.8792542,-1.35252222,,,
./annotation_check_triplets/,50c_triplet.png,50c,50c,197.8819167,-1.33712778,,,
